SENT_ID,SENT_CONTENT,PHEN_ID,PHEN,WIKI_SUMMARY,WIKI_URL,WIKI_SEARCH_CONTENT
2, Now a resurgence in jet-fuel prices is threatening to push them higher again,10,threatening,,https://en.wikipedia.org/wiki/Near-threatened_species,Near-threatened species
2, Now a resurgence in jet-fuel prices is threatening to push them higher again,10,threatening,,https://en.wikipedia.org/wiki/IUCN_Red_List,IUCN Red List
2, Now a resurgence in jet-fuel prices is threatening to push them higher again,10,threatening,,https://en.wikipedia.org/wiki/Threatened_species,Threatened species
2, Now a resurgence in jet-fuel prices is threatening to push them higher again,10,threatening,,https://en.wikipedia.org/wiki/The_Threatened_Swan,The Threatened Swan
2, Now a resurgence in jet-fuel prices is threatening to push them higher again,10,threatening,,https://en.wikipedia.org/wiki/The_Threateners,The Threateners
2, Now a resurgence in jet-fuel prices is threatening to push them higher again,10,threatening,,https://en.wikipedia.org/wiki/Politeness_theory,Politeness theory
2, Now a resurgence in jet-fuel prices is threatening to push them higher again,10,threatening,,https://en.wikipedia.org/wiki/List_of_threatened_sharks,List of threatened sharks
2, Now a resurgence in jet-fuel prices is threatening to push them higher again,10,threatening,,https://en.wikipedia.org/wiki/Society_for_Threatened_Peoples,Society for Threatened Peoples
2, Now a resurgence in jet-fuel prices is threatening to push them higher again,10,threatening,,https://en.wikipedia.org/wiki/Suicide_and_Life-Threatening_Behavior,Suicide and Life-Threatening Behavior
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",21,been climbing since,,https://en.wikipedia.org/wiki/Climbing,Climbing
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",21,been climbing since,,https://en.wikipedia.org/wiki/Rock_climbing,Rock climbing
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",21,been climbing since,,https://en.wikipedia.org/wiki/Traditional_climbing,Traditional climbing
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",21,been climbing since,,https://en.wikipedia.org/wiki/IFSC_Climbing_World_Cup,IFSC Climbing World Cup
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",21,been climbing since,,https://en.wikipedia.org/wiki/Grade_(climbing),Grade (climbing)
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",21,been climbing since,,https://en.wikipedia.org/wiki/Ryszard_Pawłowski,Ryszard Pawłowski
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",21,been climbing since,,https://en.wikipedia.org/wiki/Mountaineering,Mountaineering
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",21,been climbing since,,https://en.wikipedia.org/wiki/Iwa-Kakeru!_Climbing_Girls,Iwa-Kakeru! Climbing Girls
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",21,been climbing since,,https://en.wikipedia.org/wiki/Sport_climbing,Sport climbing
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",21,been climbing since,,https://en.wikipedia.org/wiki/Speed_climbing,Speed climbing
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",22,December ,,https://en.wikipedia.org/wiki/December,December
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",22,December ,,https://en.wikipedia.org/wiki/December_10,December 10
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",22,December ,,https://en.wikipedia.org/wiki/December_1,December 1
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",22,December ,,https://en.wikipedia.org/wiki/2016_in_aviation,2016 in aviation
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",22,December ,,https://en.wikipedia.org/wiki/December_14,December 14
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",22,December ,"December 1 is the 335th day of the year (336th in leap years) in the Gregorian calendar;  30 days remain until the end of the year.


== Events ==


=== Pre-1600 ===
800 – A council is convened in the Vatican, at which Charlemagne is to judge the accusations against Pope Leo III.
1420 – Henry V of England enters Paris alongside his father-in-law King Charles VI of France.",https://en.wikipedia.org/wiki/December_15,December 15
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",22,December ,,https://en.wikipedia.org/wiki/December_13,December 13
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",22,December ,,https://en.wikipedia.org/wiki/December_3,December 3
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",22,December ,,https://en.wikipedia.org/wiki/December_4,December 4
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",22,December ,,https://en.wikipedia.org/wiki/December_1924_German_federal_election,December 1924 German federal election
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",23,propelled by diminished supplies,,https://en.wikipedia.org/wiki/Worlds_of_Wonder_(toy_company),Worlds of Wonder (toy company)
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",23,propelled by diminished supplies,,"https://en.wikipedia.org/wiki/John_Hastings,_2nd_Earl_of_Pembroke","John Hastings, 2nd Earl of Pembroke"
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",23,propelled by diminished supplies,,https://en.wikipedia.org/wiki/Armoured_warfare,Armoured warfare
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",23,propelled by diminished supplies,"The United States Merchant Marine is composed of United States civilian mariners and U.S. civilian and federally owned merchant vessels. Both the civilian mariners and the merchant vessels are managed by a combination of the government and private sectors, and engage in commerce or transportation of goods and services in and out of the navigable waters of the United States.",https://en.wikipedia.org/wiki/United_States_Merchant_Marine,United States Merchant Marine
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",23,propelled by diminished supplies,,https://en.wikipedia.org/wiki/Eastern_Front_(World_War_II),Eastern Front (World War II)
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",23,propelled by diminished supplies,,https://en.wikipedia.org/wiki/Battle_of_Arnhem,Battle of Arnhem
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",23,propelled by diminished supplies,,https://en.wikipedia.org/wiki/Ming_dynasty,Ming dynasty
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",23,propelled by diminished supplies,,https://en.wikipedia.org/wiki/S-300_missile_system,S-300 missile system
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",23,propelled by diminished supplies,,https://en.wikipedia.org/wiki/T-34,T-34
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",23,propelled by diminished supplies,,https://en.wikipedia.org/wiki/Ironclad_warship,Ironclad warship
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",25,winter storms shut down refineries,,https://en.wikipedia.org/wiki/January_2016_United_States_blizzard,January 2016 United States blizzard
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",25,winter storms shut down refineries,,https://en.wikipedia.org/wiki/2021_Texas_power_crisis,2021 Texas power crisis
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",25,winter storms shut down refineries,,"https://en.wikipedia.org/wiki/Abadan,_Iran","Abadan, Iran"
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",25,winter storms shut down refineries,,https://en.wikipedia.org/wiki/Hurricane_Harvey,Hurricane Harvey
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",25,winter storms shut down refineries,,https://en.wikipedia.org/wiki/Oil_Storm,Oil Storm
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",25,winter storms shut down refineries,,https://en.wikipedia.org/wiki/Thermal_pollution,Thermal pollution
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",25,winter storms shut down refineries,,https://en.wikipedia.org/wiki/Northeast_blackout_of_2003,Northeast blackout of 2003
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",25,winter storms shut down refineries,,https://en.wikipedia.org/wiki/Captain_America:_The_Winter_Soldier,Captain America: The Winter Soldier
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",25,winter storms shut down refineries,,https://en.wikipedia.org/wiki/Hurricane_Katrina,Hurricane Katrina
3," Prices for the kerosene-based product have been climbing since December, propelled by diminished supplies after winter storms shut down refineries",25,winter storms shut down refineries,,https://en.wikipedia.org/wiki/Canvey_Island,Canvey Island
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",31,also pushed up prices as millions,,https://en.wikipedia.org/wiki/Japanese_asset_price_bubble,Japanese asset price bubble
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",31,also pushed up prices as millions,,https://en.wikipedia.org/wiki/Natural_gas_prices,Natural gas prices
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",31,also pushed up prices as millions,,https://en.wikipedia.org/wiki/2021–2023_global_energy_crisis,2021–2023 global energy crisis
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",31,also pushed up prices as millions,,https://en.wikipedia.org/wiki/Fukubukuro,Fukubukuro
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",31,also pushed up prices as millions,,https://en.wikipedia.org/wiki/2021_Texas_power_crisis,2021 Texas power crisis
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",31,also pushed up prices as millions,,https://en.wikipedia.org/wiki/List_of_The_Price_Is_Right_pricing_games,List of The Price Is Right pricing games
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",31,also pushed up prices as millions,,https://en.wikipedia.org/wiki/Prescription_drug_prices_in_the_United_States,Prescription drug prices in the United States
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",31,also pushed up prices as millions,,https://en.wikipedia.org/wiki/Katie_Price,Katie Price
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",31,also pushed up prices as millions,,https://en.wikipedia.org/wiki/2007–2008_world_food_price_crisis,2007–2008 world food price crisis
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",31,also pushed up prices as millions,,https://en.wikipedia.org/wiki/The_Commuter_(film),The Commuter (film)
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",38,Lunar New Year ,,https://en.wikipedia.org/wiki/Lunar_New_Year,Lunar New Year
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",38,Lunar New Year ,,https://en.wikipedia.org/wiki/Lunar_calendar,Lunar calendar
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",38,Lunar New Year ,,https://en.wikipedia.org/wiki/Lunar_New_Year_Cup,Lunar New Year Cup
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",38,Lunar New Year ,,https://en.wikipedia.org/wiki/Chinese_New_Year,Chinese New Year
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",38,Lunar New Year ,,https://en.wikipedia.org/wiki/Korean_New_Year,Korean New Year
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",38,Lunar New Year ,,https://en.wikipedia.org/wiki/Tết,Tết
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",38,Lunar New Year ,,https://en.wikipedia.org/wiki/Indian_New_Year's_days,Indian New Year's days
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",38,Lunar New Year ,,https://en.wikipedia.org/wiki/Lunar_New_Year_films,Lunar New Year films
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",38,Lunar New Year ,,https://en.wikipedia.org/wiki/2023_Monterey_Park_shooting,2023 Monterey Park shooting
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",38,Lunar New Year ,,https://en.wikipedia.org/wiki/New_Year,New Year
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",43,restrictions,,https://en.wikipedia.org/wiki/Restriction,Restriction
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",43,restrictions,,https://en.wikipedia.org/wiki/Restriction_enzyme,Restriction enzyme
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",43,restrictions,,https://en.wikipedia.org/wiki/Restriction_map,Restriction map
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",43,restrictions,,https://en.wikipedia.org/wiki/Henley_Passport_Index,Henley Passport Index
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",43,restrictions,,https://en.wikipedia.org/wiki/Calorie_restriction,Calorie restriction
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",43,restrictions,This article gives an outline of age restrictions.,https://en.wikipedia.org/wiki/List_of_age_restrictions,List of age restrictions
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",43,restrictions,"During the COVID-19 pandemic, many countries and regions imposed quarantines, entry bans, or other travel restrictions for citizens of or recent travelers to the most affected areas. Some countries and regions imposed global restrictions that apply to all foreign countries and territories, or prevent their own citizens from travelling overseas.Travel restrictions reduced the spread of the virus, but because they were first implemented after community spread was established in multiple countries in different regions of the world, they produced only a modest reduction in the total number of people infected.",https://en.wikipedia.org/wiki/Travel_during_the_COVID-19_pandemic,Travel during the COVID-19 pandemic
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",43,restrictions,,https://en.wikipedia.org/wiki/Trade_restriction,Trade restriction
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",43,restrictions,,https://en.wikipedia.org/wiki/Export_restriction,Export restriction
4," Swelling demand has also pushed up prices, as millions of Chinese travelers took to the skies to celebrate the Lunar New Year and newfound freedom from Covid restrictions",43,restrictions,,https://en.wikipedia.org/wiki/Restrictions_(album),Restrictions (album)
5,The global jet-fuel price index maintained by S&P Global is up 20prca since Dec,46,global jetfuel price index,,https://en.wikipedia.org/wiki/Air_pollution,Air pollution
5,The global jet-fuel price index maintained by S&P Global is up 20prca since Dec,46,global jetfuel price index,,https://en.wikipedia.org/wiki/Jet_fuel,Jet fuel
5,The global jet-fuel price index maintained by S&P Global is up 20prca since Dec,46,global jetfuel price index,,https://en.wikipedia.org/wiki/Energy_in_Denmark,Energy in Denmark
6," 7, while prices on the US East Coast are up about 77prca",54,US East Coast ,,https://en.wikipedia.org/wiki/East_Coast_of_the_United_States,East Coast of the United States
6," 7, while prices on the US East Coast are up about 77prca",54,US East Coast ,,https://en.wikipedia.org/wiki/East_Coast,East Coast
6," 7, while prices on the US East Coast are up about 77prca",54,US East Coast ,,https://en.wikipedia.org/wiki/East_Coast–West_Coast_hip_hop_rivalry,East Coast–West Coast hip hop rivalry
6," 7, while prices on the US East Coast are up about 77prca",54,US East Coast ,,https://en.wikipedia.org/wiki/East_Coast_hip_hop,East Coast hip hop
6," 7, while prices on the US East Coast are up about 77prca",54,US East Coast ,,https://en.wikipedia.org/wiki/Pan_Am,Pan Am
6," 7, while prices on the US East Coast are up about 77prca",54,US East Coast ,,https://en.wikipedia.org/wiki/United_States_Coast_Guard,United States Coast Guard
6," 7, while prices on the US East Coast are up about 77prca",54,US East Coast ,,https://en.wikipedia.org/wiki/East_Coast_Greenway,East Coast Greenway
6," 7, while prices on the US East Coast are up about 77prca",54,US East Coast ,,https://en.wikipedia.org/wiki/West_Coast_of_the_United_States,West Coast of the United States
6," 7, while prices on the US East Coast are up about 77prca",54,US East Coast ,,https://en.wikipedia.org/wiki/U.S._Route_101,U.S. Route 101
6," 7, while prices on the US East Coast are up about 77prca",54,US East Coast ,,https://en.wikipedia.org/wiki/ECMA,ECMA
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",58,global demand,,https://en.wikipedia.org/wiki/World_energy_supply_and_consumption,World energy supply and consumption
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",58,global demand,,https://en.wikipedia.org/wiki/2020–present_global_chip_shortage,2020–present global chip shortage
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",58,global demand,,https://en.wikipedia.org/wiki/The_Global_TV_Demand_Awards,The Global TV Demand Awards
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",58,global demand,,https://en.wikipedia.org/wiki/Video_on_demand,Video on demand
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",58,global demand,,https://en.wikipedia.org/wiki/Demand_shock,Demand shock
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",58,global demand,,https://en.wikipedia.org/wiki/Supply_and_demand,Supply and demand
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",58,global demand,,https://en.wikipedia.org/wiki/Instant_noodles,Instant noodles
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",58,global demand,,https://en.wikipedia.org/wiki/2021–2023_global_supply_chain_crisis,2021–2023 global supply chain crisis
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",58,global demand,,https://en.wikipedia.org/wiki/Doug_Bowser,Doug Bowser
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",58,global demand,,https://en.wikipedia.org/wiki/Kailash_Satyarthi,Kailash Satyarthi
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",64,already recovered from,,https://en.wikipedia.org/wiki/Serum_(blood),Serum (blood)
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",64,already recovered from,,https://en.wikipedia.org/wiki/Recovered_Territories,Recovered Territories
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",64,already recovered from,,https://en.wikipedia.org/wiki/RecoverPoint,RecoverPoint
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",64,already recovered from,,"https://en.wikipedia.org/wiki/Adriano_(footballer,_born_1984)","Adriano (footballer, born 1984)"
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",64,already recovered from,,https://en.wikipedia.org/wiki/Recovering,Recovering
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",64,already recovered from,,https://en.wikipedia.org/wiki/Angel_One,Angel One
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",64,already recovered from,,https://en.wikipedia.org/wiki/Refuse-derived_fuel,Refuse-derived fuel
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",64,already recovered from,,https://en.wikipedia.org/wiki/List_of_Tales_from_the_Crypt_episodes,List of Tales from the Crypt episodes
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",64,already recovered from,,https://en.wikipedia.org/wiki/Simpsons_Already_Did_It,Simpsons Already Did It
7,"While global demand for gasoline and diesel has already recovered from its pandemic downturn, jet-fuel consumption is just now taking off",64,already recovered from,,https://en.wikipedia.org/wiki/Sunk_cost,Sunk cost
8," The International Energy Agency forecasts that jet fuel will drive 44prca of the 1dtta9 million barrels a day of global oil-demand growth that it expects this year, after accounting for less than 6prca of demand last year, according to research firm Rystad Energy",72,The International Energy Agency ,,https://en.wikipedia.org/wiki/International_Energy_Agency,International Energy Agency
8," The International Energy Agency forecasts that jet fuel will drive 44prca of the 1dtta9 million barrels a day of global oil-demand growth that it expects this year, after accounting for less than 6prca of demand last year, according to research firm Rystad Energy",72,The International Energy Agency ,,https://en.wikipedia.org/wiki/International_Renewable_Energy_Agency,International Renewable Energy Agency
8," The International Energy Agency forecasts that jet fuel will drive 44prca of the 1dtta9 million barrels a day of global oil-demand growth that it expects this year, after accounting for less than 6prca of demand last year, according to research firm Rystad Energy",72,The International Energy Agency ,,https://en.wikipedia.org/wiki/International_Atomic_Energy_Agency,International Atomic Energy Agency
8," The International Energy Agency forecasts that jet fuel will drive 44prca of the 1dtta9 million barrels a day of global oil-demand growth that it expects this year, after accounting for less than 6prca of demand last year, according to research firm Rystad Energy",72,The International Energy Agency ,,https://en.wikipedia.org/wiki/Nuclear_Energy_Agency,Nuclear Energy Agency
8," The International Energy Agency forecasts that jet fuel will drive 44prca of the 1dtta9 million barrels a day of global oil-demand growth that it expects this year, after accounting for less than 6prca of demand last year, according to research firm Rystad Energy",72,The International Energy Agency ,,https://en.wikipedia.org/wiki/Member_states_of_the_International_Atomic_Energy_Agency,Member states of the International Atomic Energy Agency
8," The International Energy Agency forecasts that jet fuel will drive 44prca of the 1dtta9 million barrels a day of global oil-demand growth that it expects this year, after accounting for less than 6prca of demand last year, according to research firm Rystad Energy",72,The International Energy Agency ,,https://en.wikipedia.org/wiki/Energy_in_France,Energy in France
8," The International Energy Agency forecasts that jet fuel will drive 44prca of the 1dtta9 million barrels a day of global oil-demand growth that it expects this year, after accounting for less than 6prca of demand last year, according to research firm Rystad Energy",72,The International Energy Agency ,,https://en.wikipedia.org/wiki/List_of_countries_by_natural_gas_production,List of countries by natural gas production
8," The International Energy Agency forecasts that jet fuel will drive 44prca of the 1dtta9 million barrels a day of global oil-demand growth that it expects this year, after accounting for less than 6prca of demand last year, according to research firm Rystad Energy",72,The International Energy Agency ,,https://en.wikipedia.org/wiki/Renewable_energy,Renewable energy
8," The International Energy Agency forecasts that jet fuel will drive 44prca of the 1dtta9 million barrels a day of global oil-demand growth that it expects this year, after accounting for less than 6prca of demand last year, according to research firm Rystad Energy",72,The International Energy Agency ,,https://en.wikipedia.org/wiki/Energy_development,Energy development
8," The International Energy Agency forecasts that jet fuel will drive 44prca of the 1dtta9 million barrels a day of global oil-demand growth that it expects this year, after accounting for less than 6prca of demand last year, according to research firm Rystad Energy",72,The International Energy Agency ,,https://en.wikipedia.org/wiki/Electric_energy_consumption,Electric energy consumption
8," The International Energy Agency forecasts that jet fuel will drive 44prca of the 1dtta9 million barrels a day of global oil-demand growth that it expects this year, after accounting for less than 6prca of demand last year, according to research firm Rystad Energy",86,accounting,,https://en.wikipedia.org/wiki/Accounting,Accounting
8," The International Energy Agency forecasts that jet fuel will drive 44prca of the 1dtta9 million barrels a day of global oil-demand growth that it expects this year, after accounting for less than 6prca of demand last year, according to research firm Rystad Energy",86,accounting,,https://en.wikipedia.org/wiki/Management_accounting,Management accounting
8," The International Energy Agency forecasts that jet fuel will drive 44prca of the 1dtta9 million barrels a day of global oil-demand growth that it expects this year, after accounting for less than 6prca of demand last year, according to research firm Rystad Energy",86,accounting,,https://en.wikipedia.org/wiki/Account,Account
